id,date_time,customer_name,customer_email,product_name,product_price
0,2025-03-14T15:24:45+01:00,Wendy Lockman,wendy.lockman@yahoo.com,Headphones,339.31143
1,2025-03-17T09:07:23+01:00,Nat Douglas,nat.douglas@hotmail.com,Laptop,628.16797
2,2025-03-20T12:45:43+01:00,Jess Stanton,jess.stanton@yahoo.com,Mouse,443.54916
3,2025-03-24T16:29:57+01:00,Jess Stanton,jess.stanton@yahoo.com,Mouse,443.54916
4,2025-03-26T23:24:40+01:00,Elizabeth Wyman,elizabeth.wyman@hotmail.com,Laptop,628.16797
5,2025-03-29T12:12:52+01:00,Elizabeth Wyman,elizabeth.wyman@hotmail.com,Keyboard,860.10724
6,2025-03-29T20:05:28+01:00,Evie Stanton,evie.stanton@gmail.com,Laptop,628.16797
7,2025-04-03T19:05:27+02:00,Nat Douglas,nat.douglas@hotmail.com,Tablet,490.0346
8,2025-04-04T06:22:00+02:00,Jess Stanton,jess.stanton@yahoo.com,Smartphone,743.2342
9,2025-04-06T10:45:33+02:00,Kobe Kassulke,kobe.kassulke@hotmail.com,USB Drive,226.73737
10,2025-04-11T10:18:57+02:00,Kenyatta Nienow,kenyatta.nienow@gmail.com,Monitor,677.28424
11,2025-04-12T17:37:30+02:00,Hazel Johns,hazel.johns@hotmail.com,Smartphone,743.2342
12,2025-04-14T04:50:59+02:00,Weston Abernathy,weston.abernathy@hotmail.com,USB Drive,226.73737
13,2025-04-16T12:15:46+02:00,Myron Mertz,myron.mertz@yahoo.com,Monitor,677.28424
14,2025-04-18T13:20:11+02:00,Hazel Johns,hazel.johns@hotmail.com,Tablet,490.0346
15,2025-04-21T07:13:55+02:00,Myrtle Hilpert,myrtle.hilpert@yahoo.com,Monitor,677.28424
16,2025-04-23T02:58:18+02:00,Joesph Schulist,joesph.schulist@gmail.com,USB Drive,226.73737
17,2025-04-24T10:15:15+02:00,Erica Moen,erica.moen@hotmail.com,Tablet,490.0346
18,2025-04-24T10:16:34+02:00,Erica Moen,erica.moen@hotmail.com,Tablet,490.0346
19,2025-04-26T20:17:24+02:00,Ora Stokes,ora.stokes@yahoo.com,Tablet,490.0346
